fixture_id,api_football_id,date,competition2,Competition_id,home_team,home_team_id,away_team,away_team_id,goals_home,goals_away,status,home_coach,home_coach_api_id,away_coach,away_coach_api_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goals_ht,away_goals_ht
350324,256532,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Sweden,1996,France,1928,2,1,FT,J. Andersson,189.0,D. Deschamps,180.0,7.0,15.0,3.0,6.0,3.0,6.0,4.0,9.0,1.0,3.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0
350325,256533,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Andorra,1992,Hungary,1965,1,0,FT,Koldo,181.0,B. Storck,2878.0,8.0,13.0,5.0,7.0,2.0,7.0,6.0,6.0,2.0,2.0,0.0,0.0,3.0,8.0,6.0,1.0,0.0,0.0,1.0,0.0
350326,256534,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Faroe Islands,1998,Switzerland,1918,0,2,FT,L. Olsen,192.0,V. Petković,186.0,3.0,22.0,0.0,5.0,1.0,11.0,2.0,11.0,0.0,5.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0
350327,256535,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Latvia,1985,Portugal,1922,0,3,FT,A. Starkovs,2048.0,Fernando Santos,175.0,5.0,20.0,1.0,9.0,1.0,10.0,4.0,10.0,2.0,2.0,0.0,0.0,3.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0
350328,256536,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Bosnia and Herzegovina,2003,Greece,2001,0,0,FT,M. Baždarević,1471.0,M. Skibbe,3411.0,13.0,10.0,6.0,0.0,8.0,5.0,5.0,5.0,2.0,4.0,0.0,0.0,10.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0
350329,256537,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Estonia,1980,Belgium,1916,0,2,FT,M. Reim,167.0,Roberto Martínez,48.0,3.0,27.0,0.0,10.0,0.0,14.0,3.0,13.0,1.0,8.0,0.0,0.0,3.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0
350330,256538,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Gibraltar,1994,Cyprus,1977,1,2,FT,J. Wood,5742.0,C. Christoforou,5741.0,13.0,9.0,4.0,3.0,6.0,6.0,7.0,4.0,1.0,1.0,0.0,0.0,3.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0
350331,256539,2017-06-10 16:00:00+00:00,FIFA World Cup qualification - UEFA,84,Azerbaijan,1982,Northern Ireland,1979,0,1,FT,R. Prosinečki,199.0,M. O'Neill,166.0,9.0,6.0,2.0,2.0,5.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0
350332,256540,2017-06-10 16:00:00+00:00,FIFA World Cup qualification - UEFA,84,Kazakhstan,1976,Denmark,1908,1,3,FT,A. Borodyuk,5744.0,Å. Hareide,204.0,18.0,15.0,2.0,6.0,8.0,11.0,10.0,4.0,4.0,4.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
350333,256541,2017-06-10 16:00:00+00:00,FIFA World Cup qualification - UEFA,84,Scotland,1964,England,1902,2,2,FT,G. Strachan,5735.0,G. Southgate,173.0,8.0,16.0,3.0,9.0,2.0,9.0,6.0,7.0,0.0,2.0,0.0,0.0,4.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0
350334,256542,2017-06-10 16:00:00+00:00,FIFA World Cup qualification - UEFA,84,Slovenia,1968,Malta,1997,2,0,FT,S. Katanec,360.0,P. Ghedin,5734.0,23.0,3.0,8.0,1.0,16.0,1.0,7.0,2.0,6.0,0.0,0.0,0.0,13.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0
350335,256543,2017-06-10 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Germany,1914,San Marino,1978,7,0,FT,J. Löw,113.0,P. Manzaroli,5730.0,27.0,0.0,9.0,0.0,18.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
350336,256544,2017-06-10 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Norway,1999,Czech Republic,1971,1,1,FT,L. Lagerbäck,194.0,K. Jarolím,3408.0,20.0,11.0,6.0,4.0,15.0,6.0,5.0,5.0,3.0,2.0,1.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0
350337,256545,2017-06-10 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Montenegro,1988,Armenia,2004,4,1,FT,L. Tumbaković,172.0,A. Petrosyan,5743.0,13.0,14.0,5.0,8.0,9.0,3.0,4.0,11.0,1.0,3.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
350338,256546,2017-06-10 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Poland,1911,Romania,1972,3,1,FT,A. Nawałka,2864.0,C. Daum,5733.0,9.0,11.0,4.0,2.0,8.0,5.0,1.0,6.0,2.0,1.0,2.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
350339,256547,2017-06-10 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Lithuania,1990,Slovakia,1970,1,2,FT,E. Jankauskas,2942.0,J. Kozák,3409.0,12.0,9.0,3.0,2.0,5.0,3.0,7.0,6.0,2.0,3.0,0.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0
350340,256548,2017-06-11 16:00:00+00:00,FIFA World Cup qualification - UEFA,84,Moldova,1991,Georgia,1975,2,2,FT,V. Bordian,7915.0,V. Weiss,185.0,8.0,22.0,5.0,7.0,3.0,8.0,5.0,14.0,1.0,4.0,0.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,2.0,0.0
350341,256549,2017-06-11 16:00:00+00:00,FIFA World Cup qualification - UEFA,84,Republic of Ireland,1995,Austria,1969,1,1,FT,M. O'Neill,2940.0,M. Koller,2012.0,15.0,10.0,2.0,3.0,10.0,8.0,5.0,2.0,5.0,4.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0
350342,256550,2017-06-11 16:00:00+00:00,FIFA World Cup qualification - UEFA,84,Finland,2002,Ukraine,1973,1,2,FT,M. Kanerva,198.0,A. Shevchenko,176.0,9.0,12.0,1.0,6.0,5.0,7.0,4.0,5.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
350343,256551,2017-06-11 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Serbia,1925,Wales,1927,1,1,FT,S. Muslin,4252.0,C. Coleman,60.0,16.0,8.0,1.0,2.0,8.0,5.0,8.0,3.0,3.0,1.0,0.0,1.0,9.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0
350344,256552,2017-06-11 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,North Macedonia,1984,Spain,1930,1,2,FT,I. Angelovski,119.0,Lopetegui,1594.0,5.0,19.0,1.0,6.0,2.0,14.0,3.0,5.0,2.0,5.0,0.0,0.0,3.0,11.0,5.0,2.0,0.0,0.0,0.0,2.0
350345,256553,2017-06-11 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Israel,1983,Albania,1967,0,3,FT,E. Levy,4659.0,G. De Biasi,5739.0,18.0,7.0,7.0,5.0,11.0,1.0,7.0,6.0,5.0,1.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
